15:08:32.086 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.086 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.086 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.086 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.086 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.087 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.087 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.087 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.087 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.088 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.088 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.088 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.088 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.088 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.088 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.089 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.089 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.089 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.090 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.090 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.090 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.090 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.090 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.091 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.091 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.091 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.092 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.092 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.092 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.093 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.093 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.093 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.093 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.093 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.094 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.094 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.094 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.095 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.095 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.095 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.095 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.096 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.096 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.096 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.096 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
